katakana,voiced,yoon,foreign,kunrei,hepburn,simple-ipa
フョ,,拗,True,huyo,fyo,ɸjo
マ,有声,,,ma,ma,ma
ミ,有声,,,mi,mi,mji
ム,有声,,,mu,mu,mu
メ,有声,,,me,me,me
モ,有声,,,mo,mo,mo
ミャ,有声,拗,,mya,mya,mja
ミュ,有声,拗,,myu,myu,mju
ミェ,有声,拗,True,mye,mye,mje
ミョ,有声,拗,,myo,myo,mjo
ヤ,有声,拗,,ya,ya,ja
ユ,有声,拗,,yu,yu,ju
ヨ,有声,拗,,yo,yo,jo
イェ,,拗,True,ye,ye,je
ラ,有声,,,ra,ra,ra
リ,有声,,,ri,ri,rji
ル,有声,,,ru,ru,ru
レ,有声,,,re,re,re
ロ,有声,,,ro,ro,ro
リャ,有声,拗,,rya,rya,rja
リュ,有声,拗,,ryu,ryu,rju
リェ,有声,拗,True,rye,rye,rje
リョ,有声,拗,,ryo,ryo,rjo
ワ,有声,,,wa,wa,wa
ヰ,有声,,,i,i,i
ヱ,有声,,,e,e,e
ヲ,有声,,,o,o,o
ウィ,有声,,True,ui,wi,wi
ウェ,有声,,True,ue,we,we
ウォ,有声,,True,uo,wo,wo
ヴァ,濁,,True,ba,va,va
ヴィ,濁,,True,bi,vi,vi
ヴ,濁,,True,bu,vu,vu
ヴェ,濁,,True,be,ve,ve
ヴォ,濁,,True,bo,vo,vo
ヷ,濁,,True,ba,va,va
ヸ,濁,,True,bi,vi,vi
ヹ,濁,,True,be,ve,ve
ヺ,濁,,True,bo,vo,vo
ヴャ,濁,拗,True,buya,vya,vja
ヴュ,濁,拗,True,buyu,vyu,vju
ヴョ,濁,拗,True,buyo,vyo,vjo
ン,有声,撥音,,n,n,N
ッ,,促音,,Q,Q,Q
ー,有声,長音,,:,:,:
ァ,有声,,,a,a,a
ィ,有声,,,i,i,i
ゥ,有声,,,u,u,u
ェ,有声,,,e,e,e
ォ,有声,,,o,o,o
ャ,有声,拗,,ya,ya,ja
ュ,有声,拗,,yu,yu,ju
ョ,有声,拗,,yo,yo,jo
ヮ,有声,合拗,,wa,wa,wa
ヵ,,,,ka,ka,ka
ヶ,,,,ka,ka,ka
